qid,docno,relevance,iteration
8814,D1471,2,0
4024,D1473,1,0
5089,D1479,2,0
5888,D1495,2,0
2358,D1498,2,0
7150,D1501,1,0
9057,D1508,1,0
1124,D1514,1,0
5016,D1524,2,0
4147,D1534,1,0
4201,D1548,2,0
6127,D1573,1,0
6059,D1574,2,0
5146,D1580,2,0
8485,D1594,1,0
2411,D1599,1,0
3756,D1605,1,0
9834,D1614,2,0
4717,D1625,1,0
7683,D1627,1,0
9894,D1636,1,0
1836,D1638,1,0
2609,D1652,1,0
5037,D1657,2,0
2507,D1669,2,0
9546,D1672,1,0
1210,D1673,2,0
8615,D1698,2,0
8284,D1736,1,0
3287,D1737,1,0
8300,D1738,2,0
4564,D1757,2,0
9596,D1759,2,0
5605,D1769,2,0
679,D1773,1,0
9348,D1817,2,0
1798,D1825,2,0
2442,D1836,1,0
7390,D1839,1,0
1219,D1848,1,0
2049,D1850,2,0
5420,D1855,2,0
6056,D1856,1,0
3961,D1890,2,0
7665,D1899,2,0
4497,D1908,2,0
5767,D1912,2,0
2876,D1927,1,0
2777,D1933,1,0
9876,D1943,1,0
4260,D1957,1,0
3182,D1964,1,0
7152,D1966,1,0
4259,D1973,2,0
107,D1982,1,0
4883,D1991,1,0
6066,D1996,1,0
4111,D1998,1,0
7067,D2007,1,0
3983,D2009,1,0
21,D2014,2,0
7256,D2034,1,0
9407,D2039,1,0
8610,D2046,1,0
5001,D2048,1,0
6379,D2054,2,0
3882,D2061,1,0
6004,D2070,2,0
8306,D2073,1,0
766,D2074,2,0
6074,D2077,1,0
6889,D2085,2,0
5972,D2104,1,0
2699,D2109,1,0
7620,D2111,2,0
6254,D2116,2,0
9644,D2125,2,0
5275,D2126,2,0
562,D2136,1,0
4362,D2144,1,0
9500,D2146,1,0
4250,D2151,2,0
8984,D2152,2,0
991,D2155,1,0
9085,D2156,2,0
679,D2169,2,0
2288,D2179,1,0
8201,D2187,1,0
2045,D2231,2,0
4589,D2251,2,0
1820,D2262,1,0
4029,D2275,2,0
4435,D2280,2,0
9259,D2292,2,0
7877,D2294,2,0
404,D2307,2,0
4995,D2308,2,0
1221,D2318,1,0
7461,D2321,2,0
9613,D2339,2,0
4242,D2349,2,0
447,D2364,2,0
9830,D2375,2,0
4579,D2385,2,0
809,D2413,2,0
659,D2427,2,0
8133,D2428,2,0
9473,D2433,1,0
833,D2438,2,0
3223,D2443,2,0
6775,D2445,2,0
4748,D2450,2,0
4197,D2451,1,0
5265,D2459,1,0
52,D2472,2,0
2957,D2474,2,0
7794,D2476,1,0
6527,D2482,2,0
4620,D2489,2,0
9809,D2492,2,0
7725,D2501,2,0
4496,D2528,1,0
9864,D2538,1,0
8637,D2541,2,0
9502,D2551,1,0
7655,D2555,2,0
1752,D2584,2,0
9939,D2597,1,0
7649,D2602,2,0
6460,D2604,2,0
7693,D2624,1,0
2317,D2637,1,0
5993,D2640,2,0
237,D2646,2,0
5540,D2673,2,0
8754,D2674,2,0
167,D2675,1,0
9187,D2690,1,0
8080,D2693,2,0
7879,D2698,2,0
2245,D2720,2,0
7479,D2733,1,0
8394,D2749,2,0
3440,D2757,2,0
6050,D2768,2,0
8017,D2769,1,0
9781,D2792,1,0
9159,D2796,2,0
4949,D2797,1,0
3238,D2803,2,0
2518,D2811,2,0
8261,D2824,2,0
2966,D2825,1,0
9377,D2855,2,0
7444,D2858,2,0
697,D2862,2,0
3220,D2865,2,0
9846,D2868,1,0
9492,D2877,1,0
4823,D2880,1,0
2760,D2887,1,0
8632,D2898,1,0
8022,D2911,1,0
6599,D2916,2,0
4950,D2917,2,0
9383,D2918,2,0
1297,D2922,2,0
7021,D2923,1,0
5302,D2925,1,0
8738,D2940,1,0
9802,D2949,1,0
2666,D2950,2,0
9590,D2982,1,0
4698,D2991,2,0
3651,D3010,1,0
6134,D3012,2,0
2928,D3013,2,0
849,D3018,2,0
3837,D3033,1,0
7381,D3056,2,0
6225,D3060,2,0
4148,D3087,2,0
7023,D3089,2,0
6293,D3114,2,0
2670,D3125,2,0
337,D3140,2,0
8604,D3149,1,0
7676,D3156,1,0
5643,D3158,1,0
1938,D3172,2,0
3402,D3174,2,0
2823,D3195,1,0
8627,D3200,1,0
764,D3206,1,0
4316,D3213,1,0
9230,D3215,2,0
3887,D3228,2,0
1112,D3233,1,0
754,D3236,2,0
3980,D3245,1,0
9997,D3251,2,0
3769,D3279,2,0
8075,D3286,1,0
6802,D3291,2,0
7344,D3297,2,0
9672,D3301,2,0
1060,D3318,2,0
7137,D3374,1,0
5017,D3375,2,0
7721,D3379,1,0
1647,D3384,1,0
284,D3390,1,0
53,D3396,1,0
4417,D3418,2,0
3143,D3420,1,0
5897,D3423,2,0
6546,D3426,2,0
225,D3431,2,0
7015,D3437,1,0
9559,D3447,2,0
8606,D3462,2,0
5924,D3474,1,0
3940,D3477,2,0
2006,D3493,1,0
4513,D3507,1,0
4003,D3510,2,0
4863,D3518,2,0
7592,D3528,1,0
447,D3544,1,0
4207,D3545,1,0
5448,D3555,2,0
9736,D3560,1,0
2994,D3561,1,0
6815,D3566,1,0
5087,D3569,2,0
8043,D3590,1,0
2984,D3601,2,0
233,D3604,2,0
4551,D3612,1,0
7815,D3613,2,0
4428,D3615,1,0
2257,D3617,1,0
2660,D3628,1,0
7136,D3645,2,0
9431,D3678,1,0
8652,D3686,2,0
1038,D3696,1,0
1666,D3708,1,0
1263,D3709,2,0
2800,D3717,1,0
2847,D3731,1,0
6469,D3736,1,0
6271,D3747,1,0
1910,D3758,2,0
6405,D3759,2,0
9950,D3763,1,0
6429,D3765,1,0
5024,D3788,1,0
8241,D3789,1,0
7359,D3792,2,0
5774,D3801,2,0
8781,D3811,2,0
1929,D3812,2,0
2140,D3817,2,0
8100,D3826,2,0
8469,D3833,1,0
906,D3857,1,0
4358,D3858,2,0
7780,D3866,2,0
4681,D3875,1,0
7700,D3877,2,0
4858,D3887,1,0
8110,D3892,2,0
3952,D3895,1,0
4223,D3902,2,0
3981,D3915,1,0
1890,D3927,2,0
9749,D3941,1,0
6141,D3946,1,0
7692,D3949,1,0
8243,D3958,1,0
9516,D3960,2,0
4532,D3977,2,0
5074,D3991,2,0
4184,D3997,2,0
5294,D4006,1,0
7678,D4008,1,0
1104,D4014,1,0
3250,D4021,2,0
4994,D4028,2,0
9414,D4030,2,0
1542,D4044,2,0
2056,D4046,1,0
444,D4049,2,0
3557,D4082,2,0
8719,D4092,2,0
2273,D4095,1,0
3715,D4096,1,0
2232,D4108,2,0
263,D4115,1,0
4231,D4117,1,0
4389,D4120,2,0
7603,D4145,2,0
5452,D4163,2,0
8797,D4168,2,0
9882,D4177,2,0
2565,D4179,1,0
7526,D4200,2,0
2231,D4203,1,0
8698,D4216,1,0
5820,D4237,1,0
6086,D4250,2,0
3226,D4260,1,0
6458,D4276,2,0
4355,D4291,1,0
1574,D4304,2,0
2638,D4314,1,0
6515,D4316,2,0
3959,D4360,1,0
2108,D4363,2,0
1964,D4367,2,0
6153,D4369,1,0
1458,D4376,2,0
7628,D4396,1,0
8432,D4398,1,0
5876,D4399,1,0
7315,D4400,2,0
4470,D4411,2,0
5851,D4417,1,0
3611,D4421,2,0
5580,D4431,1,0
9295,D4433,1,0
2744,D4447,2,0
3134,D4458,1,0
272,D4464,2,0
2407,D4468,1,0
1878,D4474,2,0
8487,D4475,2,0
8369,D4492,2,0
6666,D4496,2,0
8988,D4498,1,0
3345,D4509,1,0
634,D4543,2,0
2531,D4558,2,0
7265,D4559,1,0
4476,D4569,2,0
3093,D4576,1,0
656,D4578,1,0
5775,D4581,2,0
5072,D4597,1,0
7293,D4604,2,0
9925,D4613,2,0
8410,D4615,1,0
8955,D4623,1,0
4984,D4629,1,0
1018,D4631,1,0
5854,D4635,2,0
2539,D4640,1,0
2740,D4644,1,0
8732,D4655,1,0
5087,D4661,1,0
4339,D4682,1,0
2569,D4694,2,0
1658,D4695,2,0
1056,D4703,2,0
9477,D4706,2,0
7875,D4708,1,0
105,D4714,2,0
3807,D4726,2,0
915,D4727,1,0
8557,D4740,2,0
8677,D4747,2,0
376,D4750,2,0
4247,D4759,1,0
5336,D4769,1,0
1378,D4780,1,0
9320,D4802,2,0
2081,D4810,1,0
2865,D4823,2,0
2516,D4839,2,0
1761,D4849,2,0
9584,D4852,2,0
3224,D4867,2,0
2176,D4871,2,0
9362,D4874,1,0
5277,D4878,1,0
5507,D4892,2,0
5190,D4914,2,0
2768,D4934,1,0
1644,D4940,1,0
2251,D4952,1,0
3509,D4970,2,0
3327,D4972,2,0
4603,D4976,1,0
9262,D4987,2,0
8279,D4991,1,0
8659,D4998,2,0
5253,D4999,2,0
338,D5020,1,0
7266,D5023,1,0
6147,D5044,2,0
8544,D5049,1,0
40,D5052,2,0
6797,D5054,1,0
2141,D5056,1,0
5604,D5067,2,0
1299,D5073,1,0
8521,D5086,2,0
3815,D5090,2,0
8121,D5115,1,0
6583,D5127,2,0
9426,D5129,1,0
4925,D5131,1,0
3596,D5141,1,0
819,D5156,1,0
753,D5159,2,0
3913,D5160,1,0
2377,D5165,2,0
70,D5172,1,0
8879,D5189,1,0
2722,D5195,2,0
6491,D5199,2,0
3612,D5202,1,0
3670,D5204,2,0
3373,D5206,1,0
658,D5213,1,0
1012,D5216,1,0
562,D5217,2,0
8573,D5222,2,0
2499,D5232,2,0
7261,D5236,1,0
6043,D5255,1,0
9201,D5256,2,0
4473,D5259,2,0
2863,D5269,1,0
757,D5284,2,0
7426,D5288,2,0
5103,D5340,1,0
7504,D5346,2,0
1351,D5351,1,0
3001,D5371,1,0
1967,D5374,1,0
8335,D5376,1,0
3314,D5379,2,0
7305,D5383,1,0
8281,D5387,2,0
6412,D5391,2,0
9530,D5395,1,0
5070,D5398,2,0
5447,D5401,1,0
9828,D5402,2,0
8761,D5405,1,0
9289,D5411,1,0
5476,D5413,1,0
8145,D5422,1,0
567,D5449,2,0
6994,D5454,2,0
1830,D5457,1,0
734,D5470,2,0
5500,D5472,1,0
1689,D5473,1,0
8477,D5478,1,0
7566,D5491,2,0
9203,D5494,2,0
1583,D5505,2,0
7506,D5511,1,0
1681,D5520,2,0
3181,D5523,2,0
5994,D5536,2,0
2635,D5553,1,0
4412,D5555,1,0
1926,D5556,1,0
266,D5569,2,0
5328,D5586,2,0
198,D5595,2,0
8854,D5600,1,0
929,D5602,1,0
7019,D5605,1,0
16,D5611,1,0
5612,D5613,2,0
3233,D5621,2,0
3196,D5622,2,0
6067,D5625,2,0
3821,D5633,1,0
6612,D5637,1,0
507,D5639,2,0
1868,D5644,1,0
3743,D5654,2,0
4238,D5655,2,0
8359,D5658,2,0
4277,D5673,1,0
2488,D5680,2,0
5471,D5684,1,0
2893,D5689,2,0
8855,D5690,1,0
5022,D5691,1,0
2399,D5692,2,0
1202,D5722,2,0
8699,D5738,2,0
9607,D5740,1,0
3024,D5744,1,0
2160,D5751,2,0
107,D5766,2,0
7825,D5776,2,0
8956,D5784,2,0
9814,D5794,1,0
9016,D5812,2,0
2828,D5814,2,0
5326,D5831,2,0
2829,D5839,2,0
2648,D5865,2,0
8338,D5903,2,0
7759,D5909,1,0
6592,D5925,1,0
5043,D5940,1,0
6803,D5942,1,0
7008,D5947,1,0
7929,D5948,2,0
5944,D5954,1,0
4386,D5961,2,0
1270,D5963,2,0
724,D5965,1,0
1369,D5972,1,0
3543,D5984,1,0
5808,D5989,1,0
6005,D6013,2,0
3835,D6017,2,0
9718,D6025,2,0
8057,D6032,2,0
1161,D6039,2,0
8489,D6049,1,0
2558,D6064,2,0
7094,D6065,2,0
3964,D6066,1,0
8116,D6097,2,0
8563,D6100,1,0
3063,D6106,2,0
7690,D6111,1,0
8952,D6116,2,0
4661,D6124,2,0
2497,D6127,2,0
5999,D6130,2,0
2514,D6142,2,0
1403,D6153,2,0
1470,D6159,2,0
9705,D6162,1,0
4544,D6164,1,0
3048,D6165,2,0
6467,D6171,2,0
3190,D6173,2,0
5526,D6174,2,0
8578,D6180,2,0
4889,D6189,2,0
3219,D6190,2,0
9803,D6191,2,0
3300,D6198,1,0
7622,D6202,2,0
5036,D6212,1,0
7866,D6224,1,0
8772,D6252,1,0
4549,D6254,1,0
6588,D6256,1,0
4011,D6270,1,0
4786,D6274,2,0
8441,D6275,1,0
2136,D6278,2,0
4162,D6291,2,0
3605,D6300,2,0
1635,D6305,2,0
1877,D6319,1,0
9733,D6340,1,0
7943,D6341,2,0
3160,D6349,2,0
1960,D6352,1,0
333,D6355,2,0
2515,D6369,1,0
9328,D6372,2,0
3785,D6391,2,0
436,D6392,2,0
85,D6396,2,0
7056,D6398,1,0
6035,D6422,1,0
4790,D6434,1,0
5394,D6435,1,0
4775,D6439,2,0
8604,D6440,2,0
2321,D6454,1,0
3226,D6456,2,0
1335,D6462,2,0
7885,D6467,2,0
9468,D6471,2,0
4329,D6472,2,0
1181,D6477,1,0
1304,D6491,1,0
6377,D6499,2,0
5035,D6500,2,0
1236,D6505,2,0
8268,D6508,1,0
7550,D6509,2,0
1953,D6511,1,0
8371,D6517,2,0
1108,D6523,1,0
9008,D6543,1,0
3187,D6566,2,0
4654,D6573,1,0
9363,D6575,1,0
2494,D6577,2,0
2578,D6579,2,0
9622,D6581,2,0
2270,D6602,2,0
5587,D6605,1,0
5399,D6619,1,0
922,D6627,2,0
2302,D6632,2,0
4380,D6641,2,0
5511,D6642,2,0
174,D6646,1,0
6965,D6656,1,0
4016,D6663,1,0
6458,D6666,1,0
5422,D6672,2,0
4090,D6673,1,0
884,D6674,1,0
9165,D6679,1,0
4327,D6681,1,0
1725,D6691,1,0
4092,D6696,2,0
4520,D6702,1,0
6833,D6703,2,0
2296,D6721,2,0
4939,D6728,1,0
2769,D6738,1,0
5403,D6741,2,0
7903,D6745,2,0
2943,D6749,1,0
7735,D6750,2,0
9123,D6760,2,0
5675,D6764,1,0
2818,D6784,2,0
6913,D6818,2,0
683,D6829,2,0
4000,D6834,1,0
3779,D6851,1,0
6577,D6853,1,0
6126,D6857,1,0
4794,D6864,2,0
3104,D6866,2,0
2270,D6871,1,0
6078,D6882,2,0
9233,D6889,2,0
2833,D6892,2,0
1643,D6893,2,0
2214,D6899,1,0
126,D6905,2,0
8773,D6906,2,0
7551,D6909,1,0
8005,D6921,1,0
6336,D6923,1,0
4846,D6926,1,0
7294,D6931,1,0
8936,D6938,2,0
1525,D6972,2,0
5046,D6976,1,0
9782,D6981,2,0
2383,D6988,2,0
3403,D6993,2,0
1991,D6998,2,0
6331,D6999,2,0
3996,D7001,2,0
4170,D7014,2,0
321,D7021,1,0
3112,D7026,1,0
7999,D7039,1,0
1499,D7043,1,0
6387,D7049,2,0
8127,D7050,2,0
2842,D7054,1,0
5954,D7064,2,0
424,D7071,1,0
9531,D7077,2,0
6095,D7078,1,0
9353,D7108,1,0
3498,D7122,2,0
374,D7140,1,0
3787,D7159,2,0
3781,D7165,2,0
9200,D7169,2,0
5546,D7175,1,0
4649,D7183,1,0
9873,D7185,2,0
1188,D7196,1,0
1021,D7200,2,0
9579,D7208,1,0
2477,D7214,1,0
5835,D7244,2,0
8790,D7258,1,0
962,D7259,2,0
9708,D7275,1,0
1731,D7276,2,0
3798,D7278,2,0
1319,D7292,1,0
5095,D7293,1,0
8552,D7321,2,0
9263,D7331,1,0
709,D7336,2,0
9028,D7344,1,0
950,D7367,1,0
4914,D7386,2,0
6555,D7399,1,0
4634,D7401,1,0
5770,D7402,2,0
3091,D7403,1,0
7636,D7409,1,0
8811,D7421,2,0
4207,D7437,2,0
4199,D7442,1,0
6933,D7473,2,0
8106,D7507,1,0
5763,D7515,2,0
3982,D7516,2,0
5640,D7517,2,0
9146,D7533,2,0
504,D7545,1,0
7810,D7565,2,0
323,D7566,2,0
1109,D7570,2,0
5533,D7580,1,0
6055,D7601,1,0
4783,D7612,2,0
8084,D7618,1,0
6179,D7632,1,0
4718,D7645,2,0
2065,D7654,1,0
5737,D7656,2,0
1760,D7662,1,0
1118,D7679,2,0
6593,D7694,1,0
6944,D7695,1,0
8084,D7701,2,0
8319,D7710,1,0
4499,D7722,2,0
3416,D7724,1,0
5658,D7728,2,0
2594,D7729,1,0
3342,D7736,1,0
8737,D7738,1,0
6192,D7741,2,0
299,D7743,2,0
524,D7750,2,0
958,D7751,1,0
1391,D7763,2,0
1915,D7767,1,0
7103,D7772,2,0
3363,D7776,1,0
1322,D7780,1,0
5777,D7801,2,0
4282,D7824,1,0
9556,D7827,1,0
30,D7828,2,0
9983,D7845,1,0
2194,D7847,1,0
2684,D7861,1,0
6472,D7862,1,0
5402,D7863,2,0
9565,D7865,2,0
8821,D7871,2,0
1777,D7872,2,0
234,D7887,1,0
6539,D7902,2,0
8389,D7912,2,0
1303,D7941,1,0
4317,D7947,1,0
9750,D7971,2,0
3462,D7974,1,0
3740,D7977,2,0
2808,D7994,2,0
8865,D8039,2,0
4740,D8040,2,0
760,D8052,2,0
863,D8054,1,0
4787,D8058,2,0
4422,D8063,1,0
6048,D8075,2,0
7879,D8076,1,0
503,D8078,2,0
6642,D8082,2,0
2577,D8105,2,0
2792,D8111,1,0
893,D8117,2,0
274,D8119,2,0
5407,D8127,1,0
4024,D8128,2,0
722,D8129,2,0
9771,D8132,1,0
7582,D8134,2,0
2698,D8145,1,0
276,D8148,2,0
1565,D8154,1,0
2819,D8157,1,0
5243,D8163,1,0
3925,D8171,2,0
645,D8174,2,0
7874,D8181,1,0
8173,D8190,1,0
6988,D8191,2,0
8232,D8201,2,0
7376,D8207,1,0
890,D8212,1,0
5816,D8220,2,0
6197,D8231,2,0
5935,D8245,1,0
7786,D8262,2,0
6972,D8272,1,0
1797,D8273,2,0
4759,D8289,1,0
6778,D8290,2,0
5597,D8293,1,0
5023,D8298,2,0
4583,D8299,2,0
1112,D8302,2,0
8238,D8317,1,0
7982,D8319,1,0
3291,D8320,2,0
4244,D8329,1,0
8808,D8344,2,0
9787,D8356,2,0
3940,D8373,1,0
6769,D8382,2,0
1090,D8388,1,0
6622,D8404,1,0
4608,D8426,2,0
6695,D8434,1,0
2261,D8437,2,0
1064,D8443,2,0
1186,D8444,1,0
961,D8448,1,0
5555,D8454,2,0
2293,D8459,2,0
7980,D8494,1,0
3552,D8521,1,0
539,D8528,2,0
1431,D8532,2,0
8843,D8538,2,0
9448,D8539,2,0
1462,D8543,1,0
9128,D8545,2,0
7994,D8550,2,0
4033,D8560,1,0
4884,D8587,1,0
2592,D8589,2,0
8592,D8595,1,0
4167,D8597,2,0
6321,D8616,1,0
4206,D8622,2,0
3138,D8633,2,0
7904,D8653,2,0
8481,D8656,2,0
4152,D8660,2,0
3454,D8671,2,0
4221,D8673,2,0
9027,D8676,2,0
5740,D8677,1,0
1182,D8680,2,0
5817,D8688,2,0
4020,D8698,2,0
6582,D8719,2,0
912,D8722,2,0
4981,D8736,1,0
7448,D8760,2,0
3641,D8763,2,0
7462,D8766,2,0
3245,D8767,2,0
4931,D8777,1,0
5083,D8781,1,0
7606,D8782,1,0
6124,D8814,1,0
6983,D8820,2,0
8064,D8822,2,0
1094,D8831,2,0
5473,D8835,1,0
5002,D8852,2,0
2987,D8853,1,0
8181,D8863,2,0
5482,D8868,2,0
8886,D8869,1,0
210,D8872,1,0
8899,D8874,2,0
3147,D8875,2,0
5143,D8879,2,0
8379,D8883,1,0
9845,D8898,1,0
4714,D8904,1,0
2362,D8905,2,0
1533,D8908,2,0
6108,D8918,2,0
7339,D8922,2,0
5286,D8930,2,0
911,D8939,1,0
8271,D8942,2,0
1015,D8945,1,0
5373,D8955,2,0
4800,D8972,2,0
5229,D8982,1,0
496,D8988,1,0
5432,D9002,1,0
8967,D9004,2,0
686,D9006,2,0
662,D9008,2,0
1021,D9010,1,0
4012,D9015,2,0
7798,D9018,1,0
4114,D9024,2,0
4142,D9029,1,0
4211,D9034,2,0
1203,D9043,2,0
7394,D9045,1,0
2920,D9066,2,0
8217,D9070,1,0
2499,D9071,1,0
4409,D9089,1,0
9197,D9090,1,0
431,D9107,2,0
7565,D9118,2,0
1667,D9125,2,0
7673,D9131,1,0
8996,D9132,2,0
9330,D9136,1,0
8214,D9144,2,0
3954,D9166,1,0
6864,D9172,2,0
1244,D9189,1,0
8827,D9218,1,0
3646,D9220,2,0
3326,D9233,1,0
4590,D9239,2,0
1467,D9253,1,0
9842,D9258,2,0
8160,D9268,2,0
1359,D9273,2,0
2613,D9276,1,0
4705,D9302,1,0
3696,D9306,2,0
3188,D9307,2,0
7991,D9308,2,0
4276,D9331,2,0
3747,D9341,2,0
986,D9387,2,0
9321,D9394,1,0
9645,D9396,1,0
4481,D9403,1,0
5131,D9406,1,0
1536,D9426,2,0
2042,D9430,2,0
3112,D9431,2,0
5693,D9433,2,0
5381,D9434,1,0
5689,D9439,2,0
692,D9440,2,0
1809,D9448,1,0
7275,D9450,2,0
8190,D9456,1,0
3582,D9457,2,0
2114,D9458,2,0
2144,D9459,2,0
8200,D9462,1,0
6340,D9466,2,0
5252,D9468,2,0
3529,D9469,1,0
7667,D9474,1,0
1743,D9489,2,0
6925,D9495,1,0
8901,D9498,2,0
9251,D9500,2,0
9918,D9501,1,0
6647,D9507,2,0
1315,D9529,2,0
3435,D9533,1,0
9680,D9537,2,0
7160,D9539,1,0
6803,D9554,2,0
5608,D9569,2,0
3872,D9572,1,0
2028,D9582,2,0
8819,D9583,2,0
952,D9589,2,0
4240,D9604,1,0
410,D9610,1,0
9454,D9613,2,0
4030,D9651,2,0
5406,D9662,2,0
8477,D9665,2,0
6485,D9677,2,0
1401,D9684,2,0
3749,D9686,2,0
7810,D9709,1,0
2484,D9716,2,0
2412,D9718,2,0
791,D9719,2,0
9911,D9721,1,0
9537,D9723,2,0
9091,D9736,1,0
4245,D9747,2,0
9674,D9773,2,0
8684,D9784,1,0
216,D9800,2,0
211,D9802,1,0
5981,D9814,1,0
4458,D9837,2,0
2233,D9846,2,0
2634,D9847,1,0
933,D9848,1,0
4491,D9856,2,0
576,D9873,2,0
9785,D9884,2,0
502,D9918,2,0
4666,D9922,2,0
5786,D9928,2,0
8974,D9940,2,0
9776,D9943,1,0
4008,D9952,2,0
385,D9960,1,0
9933,D9977,2,0
9504,D9983,1,0
2021,D9985,1,0
9455,D9989,1,0
5390,D9993,2,0
229,D9999,1,0
4400,D10011,1,0
7609,D10020,1,0
2109,D10028,1,0
1220,D10045,2,0
1189,D10051,1,0
7257,D10056,2,0
9621,D10063,2,0
5552,D10066,1,0
1447,D10082,2,0
6975,D10083,1,0
1873,D10092,1,0
5029,D10096,2,0
7119,D10108,2,0
7024,D10118,1,0
2696,D10120,1,0
3608,D10125,1,0
2668,D10132,1,0
5133,D10137,2,0
6090,D10146,1,0
3728,D10150,1,0
3963,D10166,2,0
3775,D10167,2,0
2310,D10178,2,0
5944,D10181,2,0
8057,D10189,1,0
4934,D10193,2,0
9053,D10206,2,0
5974,D10212,1,0
2604,D10222,1,0
374,D10235,2,0
3291,D10236,1,0
1343,D10239,1,0
2543,D10240,2,0
2451,D10246,2,0
1445,D10247,1,0
2572,D10251,1,0
7395,D10252,2,0
1144,D10254,2,0
3008,D10255,2,0
9446,D10259,1,0
5438,D10262,1,0
2229,D10284,2,0
9460,D10289,2,0
5848,D10294,2,0
5219,D10305,1,0
6993,D10328,1,0
5596,D10333,1,0
431,D10348,1,0
9535,D10365,2,0
5140,D10386,1,0
1734,D10402,2,0
5103,D10403,2,0
4345,D10411,1,0
6677,D10427,2,0
2158,D10437,1,0
1426,D10483,1,0
435,D10484,2,0
3124,D10485,2,0
4576,D10489,1,0
8900,D10497,2,0
95,D10502,1,0
9233,D10521,1,0
8594,D10525,2,0
3865,D10531,2,0
3917,D10538,2,0
4503,D10560,2,0
7597,D10561,2,0
6863,D10570,2,0
2373,D10579,1,0
5306,D10591,2,0
673,D10596,1,0
3641,D10609,1,0
228,D10625,1,0
6393,D10653,1,0
3143,D10662,2,0
2897,D10664,1,0
5767,D10668,1,0
2178,D10672,2,0
7384,D10673,2,0
8735,D10678,1,0
2643,D10687,2,0
26,D10707,2,0
6442,D10721,2,0
2842,D10759,2,0
2249,D10761,1,0
8538,D10765,2,0
4025,D10769,1,0
2471,D10771,1,0
8389,D10781,1,0
4205,D10782,1,0
4774,D10809,2,0
9857,D10810,2,0
9286,D10815,2,0
